myneta_id,name,constituency,district,party,age,education,criminal_cases,criminal_details,movable_self,movable_spouse,movable_dependents,movable_total,immovable_self,immovable_spouse,immovable_dependents,immovable_total,total_assets,liabilities,affidavit_url
94,Parthipan.P,HARUR (SC),DHARMAPURI,IND,52,Graduate,0,,50000,0,0,50000,20000,0,0,20000,70000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=94
95,K. Prabakaran,KANCHEEPURAM,KANCHEEPURAM,BSP,32,Graduate Professional,0,,133000,306000,0,439000,0,0,0,0,439000,45000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=95
96,Nallamuthu.P,KANGAYAM,TIRUPPUR,IND,69,8th Pass,0,,295472,524109,0,819581,0,450000,0,450000,1269581,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=96
97,Dr.R.Rameshbabu,KILPENNATHUR,TIRUVANNAMALAI,Naam Tamilar Katchi,44,Post Graduate,0,,1050000,2965500,0,4015500,11500000,0,0,11500000,15515500,1116114,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=97
98,K.Pitchandi,KILPENNATHUR,TIRUVANNAMALAI,DMK,67,Post Graduate,0,,3299544,2572957,0,5872501,29095000,0,0,29095000,34967501,2455379,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=98
99,K Seetharaman,KILVAITHINANKUPPAM (SC),VELLORE,DMK,63,10th Pass,0,,156000,280000,168000,604000,500000,0,0,500000,1104000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=99
100,Vijayakumar.R,KRISHNAGIRI,KRISHNAGIRI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,38,8th Pass,0,,335600,102500,0,438100,1025000,0,0,1025000,1463100,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=100
101,Nirandari.V,KRISHNAGIRI,KRISHNAGIRI,Naam Tamilar Katchi,26,Post Graduate,0,,12000,195000,0,207000,0,0,0,0,207000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=101
102,Ashokkumar.K,KRISHNAGIRI,KRISHNAGIRI,AIADMK,68,10th Pass,0,,3612824,0,0,3612824,0,0,0,0,3612824,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=102
103,Senguttuvan.T,KRISHNAGIRI,KRISHNAGIRI,DMK,68,10th Pass,8,"147, 148, 448, 395, 397, 34; 143, 188, 341; 171H; 143, 188, 285; 143, 188, 341; 143, 188, 269; 143, 188, 269; 143, 188, 269",9485983,1883052,8022917,19391952,2750000,2800000,13475000,19025000,38416952,14740721,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=103
104,Muthukumar,KRISHNARAYAPURAM (SC),KARUR,AIADMK,41,Graduate,3,"143, 188, 341, 285,; 147, 447, 294(b), 323, 355, 506(i); 336, 427",2877146,711025,725144,4313315,18500000,4000000,4000000,26500000,30813315,3675035,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=104
